Name1	Name2	Name3	Material	Method
Keelan	Wendt		Clay	Shipped
Joe	G.	Lowery	Wood	Shipped
Mikel	Rafael	Spring	Wood	Shipped
Maeve	Boucher		Clay	Shipped
Rashawn	Hauser		Plaster	Shipped
Graciela	G.	Waterman	Neon	Shipped
Latavia	Dubose		Aluminum	Shipped
Kaylah	Diggs		Neon	Shipped
Tyrese	Monson		Aluminum	Shipped
Ramsey	Lloyd		Wood	Shipped
Anahi	McCarter		Clay	Shipped
Isha	Lexus	Leung	Plaster	Shipped
Kierstin	Chantal	Phan	Neon	Shipped
Garrett	Oldham		Plaster	Shipped
Isabela	Giana	Corrales	Clay	Shipped
Jaycee	Rhiannon	Colvin	Neon	Shipped
Rosalie	Tehya	Lundy	Wood	Shipped
Brynne	Faith	Ratcliff	Wood	Shipped
Anya	Meier		Clay	Shipped
Nicole	Lusk		Plaster	Shipped
Isaiah	Amaral		Neon	Shipped
Candace	Denisse	Deaton	Neon	Shipped
Triniti	C.	Walker	Aluminum	Shipped
Ayanna	Mcwhorter		Wood	Shipped
Angel	Glass		Clay	Shipped
Presley	Breedlove		Aluminum	Shipped
Brooke	Estrella	Fraser	Clay	Shipped
Luiz	Helton		Aluminum	Shipped
Joey	Ralston		Plaster	Shipped
Magali	Jennah	Hollis	Clay	Shipped
S.	Siegel		Neon	Shipped
Thea	Landers		Plaster	Shipped
Benton	Geary		Aluminum	Shipped
Gracie	Henley		Aluminum	Shipped
Samantha	Gilliam		Neon	Shipped
Kristin			Wood	Shipped
Ashlynn	Alyson	Burgos	Plaster	Shipped
Craig	Nick	Walden	Clay	Shipped
Magaly	Brissa	Brenner	Plaster	Shipped
Reese	Freeland		Clay	Shipped
Brittany	Proctor		Aluminum	Shipped
Tyrese	Monson		Neon	Shipped
Jarett	Gerard		Wood	Shipped
Reynaldo	Price		Wood	Shipped
Javonte	Dan	Shelton	Clay	Shipped
Cheyanne	Jolly		Neon	Shipped
Annalee	Melinda	Song	Plaster	Shipped
Emerson	Heath		Aluminum	Shipped
JenaParker			Aluminum	Shipped
Keisha	Hailie	Lira	Neon	Shipped
Micaela	Taft		Wood	Shipped
Dillan	Lionel	Vick	Plaster	Shipped
Brennan	Busby		Clay	Shipped
Monique	Moran		Plaster	Shipped
Mackenna	Erika	Cornejo	Plaster	Shipped
Patricia	Janie	Reardon	Plaster	Shipped
Genaro	Schmid		Aluminum	Shipped
Santana	S.		Wood	Shipped
Aidan	Godinez		Aluminum	Shipped
Lamont	Hemphill		Clay	Shipped
Abrianna	Viviana	Root	Clay	Shipped
Jerome	Ray	Benavidez	Neon	Shipped
Ladarius	Jase	Valles	Wood	Shipped
Katlyn	Gold		Wood	Shipped
Maddie	Kirkland		Wood	Shipped
Dario	Enrique	Aquino	Wood	Shipped
NataleeJolly			Clay	Shipped
Conor	Kale	Escobar	Aluminum	Shipped
Raymundo	Todd	Kendrick	Aluminum	Shipped
Camilla	Madelyn	Merriman	Neon	Shipped
Ethen	Comstock		Aluminum	Shipped
Gabriel	Grant	Wicks	Neon	Shipped
Reanna	Lindsay		Neon	Shipped
Jamar	Worthy		Aluminum	Shipped
Orion	Angelo	Coons	Wood	Shipped
Lionel	Hopson		Clay	Shipped
J.	Amaral		Clay	Shipped
Ronnie	Kirby		Plaster	Shipped
Ramiro	Eric	Palermo	Plaster	Shipped
Rhea	Anjali	Grace	Plaster	Shipped
Cornelius	Cranford		Plaster	Shipped
Jovani	Jan	Newsome	Plaster	Shipped
Ramiro	Tristian	Nye	Clay	Shipped
Tamya	Fierro		Neon	Shipped
Annalee	Eboni	Perry	Wood	Shipped
Jackeline			Wood	Shipped
Fiona	G.		Wood	Shipped
Kailyn	Delarosa		Clay	Shipped
Shiann	K.		Aluminum	Shipped
SeanPowers			Neon	Shipped
Frederick	Sun		Clay	Shipped
Cielo	Tamara	Horner	Plaster	Shipped
Brent	Ervin		Aluminum	Shipped
Darien	Jaleel	Holcomb	Plaster	Shipped
Sunny	Casas		Aluminum	Shipped
Glenn	Reagan	Bratton	Aluminum	Shipped
Felicity	S.	Mora	Neon	Shipped
Chauncey	Meredith		Neon	Shipped
Anderson	Crooks		Wood	Shipped
Sasha	Jaela	Pappas	Neon	Shipped
Eduardo	Yusuf	Stanfield	Neon	Store
Roy	Khan		Plaster	Store
Amalia	Monk		Wood	Store
Magdalena			Clay	Store
Nakia	Lexy	Mcallister	Aluminum	Store
Dayton	Stefan	Burrell	Clay	Store
Emilio	Andrade		Aluminum	Store
Miranda	Yaritza	Meredith	Wood	Store
S.	Langdon		Plaster	Store
Juan	Issac	Burnette	Neon	Store
Mara	S.		Clay	Store
Stacie	Sadie	Arevalo	Aluminum	Store
Tanisha	Amy	Caruso	Wood	Store
Keana	Ramirez		Clay	Store
Allan	Burge		Plaster	Store
Matthias	McCrary		Plaster	Store
Analisa	Kalyn	Carrington	Plaster	Store
Tristin	Morse		Clay	Store
